date,line,type
11-Jan-14,1,Weekend
12-Jan-14,1,Weekend
25-Jan-14,1,Weekend
26-Jan-14,1,Weekend
08-Feb-14,1,Weekend
09-Feb-14,1,Weekend
22-Feb-14,1,Weekend
23-Feb-14,1,Weekend
08-Mar-14,1,Weekend
09-Mar-14,1,Weekend
15-Mar-14,1,One day
22-Mar-14,1,Weekend
23-Mar-14,1,Weekend
05-Apr-14,1,Weekend
06-Apr-14,1,Weekend
12-Apr-14,1,Late opening
10-May-14,2,Weekend
11-May-14,2,Weekend
24-May-14,2,Weekend
25-May-14,2,Weekend
31-May-14,1,One day
07-Jun-14,1,Weekend
08-Jun-14,1,Weekend
14-Jun-14,2,Weekend
15-Jun-14,2,Weekend
22-Jun-14,2,Late opening
28-Jun-14,1,Weekend
29-Jun-14,1,Weekend
06-Jul-14,2,Late opening
13-Jul-14,2,Late opening
19-Jul-14,2,Weekend
20-Jul-14,2,Weekend
16-Aug-14,1,Weekend
17-Aug-14,1,Weekend
23-Aug-14,1,Weekend
24-Aug-14,1,Weekend
06-Sep-14,1,Weekend
07-Sep-14,1,Weekend
13-Sep-14,1,Weekend
14-Sep-14,1,Weekend
20-Sep-14,1,Weekend
21-Sep-14,1,Weekend
21-Sep-14,3,Late opening
01-Oct-14,2,Early closure
18-Oct-14,1,Weekend
19-Oct-14,1,Weekend
01-Nov-14,1,Weekend
02-Nov-14,1,Weekend
08-Nov-14,1,Weekend
09-Nov-14,1,Weekend
15-Nov-14,2,One day
06-Dec-14,2,Weekend
07-Dec-14,2,Weekend
10-Jan-15,1,Weekend
11-Jan-15,1,Weekend
31-Jan-15,1,Weekend
01-Feb-15,1,Weekend
14-Feb-15,1,Weekend
15-Feb-15,1,Weekend
16-Feb-15,1,Weekend
28-Feb-15,1,Weekend
01-Mar-15,1,Weekend
07-Mar-15,1,One day
14-Mar-15,1,Weekend
15-Mar-15,1,Weekend
21-Mar-15,1,Weekend
22-Mar-15,1,Weekend
28-Mar-15,1,Weekend
29-Mar-15,1,Weekend
11-Apr-15,1,Weekend
12-Apr-15,1,Weekend
25-Apr-15,3,Weekend
26-Apr-15,3,Weekend
09-May-15,1,Weekend
10-May-15,1,Weekend
17-May-15,2,One day
23-May-15,1,Weekend
24-May-15,1,Weekend
30-May-15,1,Weekend
31-May-15,1,Weekend
06-Jun-15,1,Weekend
07-Jun-15,1,Weekend
13-Jun-15,2,One day
20-Jun-15,2,Early closure
04-Jul-15,3,Weekend
05-Jul-15,3,Weekend
16-Aug-15,1,Late opening
22-Aug-15,2,Weekend
23-Aug-15,2,Weekend
29-Aug-15,1,Weekend
30-Aug-15,1,Weekend
12-Sep-15,3,Weekend
13-Sep-15,3,Weekend
19-Sep-15,1,Weekend
20-Sep-15,1,Weekend
26-Sep-15,3,Weekend
27-Sep-15,3,Weekend
10-Oct-15,2,Weekend
11-Oct-15,2,Weekend
17-Oct-15,1,Weekend
18-Oct-15,1,Weekend
24-Oct-15,2,Weekend
25-Oct-15,2,Weekend
31-Oct-15,1,Weekend
01-Nov-15,1,Weekend
07-Nov-15,2,Weekend
08-Nov-15,2,Weekend
14-Nov-15,1,One day
21-Nov-15,2,Weekend
22-Nov-15,2,Weekend
