,date,numTweets,pandemic,dayOfWeek,score
0,2014-01-01,5,0,Wednesday,0.20769
1,2014-01-02,8,0,Thursday,0.07609583333333332
2,2014-01-03,11,0,Friday,-0.02472424242424243
3,2014-01-04,4,0,Saturday,-0.06399166666666667
4,2014-01-05,7,0,Sunday,0.04804999999999999
5,2014-01-06,15,0,Monday,0.04892777777777778
6,2014-01-07,29,0,Tuesday,0.08499109195402298
7,2014-01-08,19,0,Wednesday,0.13255157894736844
8,2014-01-09,15,0,Thursday,0.09505444444444446
9,2014-01-10,9,0,Friday,0.1147537037037037
10,2014-01-11,12,0,Saturday,0.11790416666666664
11,2014-01-12,7,0,Sunday,0.1509047619047619
12,2014-01-13,13,0,Monday,0.032896153846153846
13,2014-01-14,13,0,Tuesday,0.0012205128205128141
14,2014-01-15,16,0,Wednesday,0.03918750000000001
15,2014-01-16,11,0,Thursday,-0.12551363636363638
16,2014-01-17,12,0,Friday,0.03693680555555555
17,2014-01-18,11,0,Saturday,-0.11721136363636364
18,2014-01-19,1,0,Sunday,0.9231
19,2014-01-20,8,0,Monday,0.14252916666666665
20,2014-01-21,16,0,Tuesday,-0.08886822916666667
21,2014-01-22,6,0,Wednesday,0.11862111111111111
22,2014-01-23,17,0,Thursday,-0.11536813725490197
23,2014-01-24,5,0,Friday,0.09583
24,2014-01-25,3,0,Saturday,0.17246666666666666
25,2014-01-26,8,0,Sunday,0.1690229166666667
26,2014-01-27,10,0,Monday,0.0020903333333333494
27,2014-01-28,10,0,Tuesday,-0.21624999999999997
28,2014-01-29,27,0,Wednesday,0.026688271604938255
29,2014-01-30,17,0,Thursday,0.07193382352941177
30,2014-01-31,10,0,Friday,0.042063333333333335
31,2014-02-01,4,0,Saturday,0.020562499999999997
32,2014-02-02,8,0,Sunday,-0.02158958333333332
33,2014-02-03,11,0,Monday,0.028414848484848484
34,2014-02-04,8,0,Tuesday,-0.1129125
35,2014-02-05,22,0,Wednesday,0.07718484848484847
36,2014-02-06,18,0,Thursday,-0.14549814814814818
37,2014-02-07,18,0,Friday,-0.14867259259259255
38,2014-02-08,5,0,Saturday,-0.2037
39,2014-02-09,5,0,Sunday,0.07205999999999999
40,2014-02-10,13,0,Monday,-0.07947564102564103
41,2014-02-11,8,0,Tuesday,0.06563125
42,2014-02-12,12,0,Wednesday,-0.18946666666666667
43,2014-02-13,11,0,Thursday,-0.04106363636363636
44,2014-02-14,6,0,Friday,-0.08051388888888888
45,2014-02-15,4,0,Saturday,0.018058333333333336
46,2014-02-16,1,0,Sunday,0.25434999999999997
47,2014-02-17,3,0,Monday,0.03591111111111111
48,2014-02-18,8,0,Tuesday,-0.08736875
49,2014-02-19,12,0,Wednesday,-0.04641805555555555
50,2014-02-20,17,0,Thursday,-0.026858333333333328
51,2014-02-21,8,0,Friday,0.04446875
52,2014-02-22,9,0,Saturday,-0.10821574074074074
53,2014-02-23,6,0,Sunday,0.11260000000000003
54,2014-02-24,6,0,Monday,0.2677958333333333
55,2014-02-25,8,0,Tuesday,0.07699166666666667
56,2014-02-26,22,0,Wednesday,-0.0225405303030303
57,2014-02-27,10,0,Thursday,0.0426
58,2014-02-28,2,0,Friday,0.3143416666666667
59,2014-03-01,4,0,Saturday,0.11838125000000001
60,2014-03-02,6,0,Sunday,0.06022222222222221
